SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45567188,Cerebral infarction due to thrombosis of left middle cerebral artery,I63.312,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of middle cerebral artery (705130002, OMOP concept_id: 45767658)",45567188,Cerebral infarction due to thrombosis of left middle cerebral artery,I63.312,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",37200502,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,I63.313,ICD10CM,[45767658]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200502,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,I63.313,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of middle cerebral artery (705130002, OMOP concept_id: 45767658)",37200502,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,I63.313,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45548028,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,I63.319,ICD10CM,[45767658]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45548028,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,I63.319,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of middle cerebral artery (705130002, OMOP concept_id: 45767658)",45548028,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,I63.319,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569205,Cerebral infarction due to thrombosis of anterior cerebral artery,I63.32,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569205,Cerebral infarction due to thrombosis of anterior cerebral artery,I63.32,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45557553,Cerebral infarction due to thrombosis of right anterior cerebral artery,I63.321,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557553,Cerebral infarction due to thrombosis of right anterior cerebral artery,I63.321,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45576886,Cerebral infarction due to thrombosis of left anterior cerebral artery,I63.322,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576886,Cerebral infarction due to thrombosis of left anterior cerebral artery,I63.322,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",37200503,Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries,I63.323,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200503,Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries,I63.323,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45543188,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery,I63.329,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45543188,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery,I63.329,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569206,Cerebral infarction due to thrombosis of posterior cerebral artery,I63.33,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569206,Cerebral infarction due to thrombosis of posterior cerebral artery,I63.33,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45576887,Cerebral infarction due to thrombosis of right posterior cerebral artery,I63.331,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576887,Cerebral infarction due to thrombosis of right posterior cerebral artery,I63.331,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45596213,Cerebral infarction due to thrombosis of left posterior cerebral artery,I63.332,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45596213,Cerebral infarction due to thrombosis of left posterior cerebral artery,I63.332,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",37200504,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries,I63.333,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200504,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries,I63.333,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45567189,Cerebral infarction due to thrombosis of unspecified posterior cerebral artery,I63.339,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45567189,Cerebral infarction due to thrombosis of unspecified posterior cerebral artery,I63.339,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569207,Cerebral infarction due to thrombosis of cerebellar artery,I63.34,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569207,Cerebral infarction due to thrombosis of cerebellar artery,I63.34,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45586593,Cerebral infarction due to thrombosis of right cerebellar artery,I63.341,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45586593,Cerebral infarction due to thrombosis of right cerebellar artery,I63.341,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45543189,Cerebral infarction due to thrombosis of left cerebellar artery,I63.342,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45543189,Cerebral infarction due to thrombosis of left cerebellar artery,I63.342,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",37200505,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,I63.343,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200505,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,I63.343,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45605807,Cerebral infarction due to thrombosis of unspecified cerebellar artery,I63.349,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45605807,Cerebral infarction due to thrombosis of unspecified cerebellar artery,I63.349,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45576888,Cerebral infarction due to thrombosis of other cerebral artery,I63.39,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576888,Cerebral infarction due to thrombosis of other cerebral artery,I63.39,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569208,Cerebral infarction due to embolism of cerebral arteries,I63.4,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",1569208,Cerebral infarction due to embolism of cerebral arteries,I63.4,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552803,Cerebral infarction due to embolism of unspecified cerebral artery,I63.40,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45552803,Cerebral infarction due to embolism of unspecified cerebral artery,I63.40,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569209,Cerebral infarction due to embolism of middle cerebral artery,I63.41,ICD10CM,[45772786]
"Cerebral infarction due to embolism of middle cerebral artery (705128004, OMOP concept_id: 45772786)",1569209,Cerebral infarction due to embolism of middle cerebral artery,I63.41,ICD10CM,[45772786]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45562367,Cerebral infarction due to embolism of right middle cerebral artery,I63.411,ICD10CM,[45772786]
"Cerebral infarction due to embolism of middle cerebral artery (705128004, OMOP concept_id: 45772786)",45562367,Cerebral infarction due to embolism of right middle cerebral artery,I63.411,ICD10CM,[45772786]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45586594,Cerebral infarction due to embolism of left middle cerebral artery,I63.412,ICD10CM,[45772786]
"Cerebral infarction due to embolism of middle cerebral artery (705128004, OMOP concept_id: 45772786)",45586594,Cerebral infarction due to embolism of left middle cerebral artery,I63.412,ICD10CM,[45772786]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200506,Cerebral infarction due to embolism of bilateral middle cerebral arteries,I63.413,ICD10CM,[45772786]
"Cerebral infarction due to embolism of middle cerebral artery (705128004, OMOP concept_id: 45772786)",37200506,Cerebral infarction due to embolism of bilateral middle cerebral arteries,I63.413,ICD10CM,[45772786]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576889,Cerebral infarction due to embolism of unspecified middle cerebral artery,I63.419,ICD10CM,[45772786]
"Cerebral infarction due to embolism of middle cerebral artery (705128004, OMOP concept_id: 45772786)",45576889,Cerebral infarction due to embolism of unspecified middle cerebral artery,I63.419,ICD10CM,[45772786]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569210,Cerebral infarction due to embolism of anterior cerebral artery,I63.42,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",1569210,Cerebral infarction due to embolism of anterior cerebral artery,I63.42,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45543190,Cerebral infarction due to embolism of right anterior cerebral artery,I63.421,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45543190,Cerebral infarction due to embolism of right anterior cerebral artery,I63.421,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552804,Cerebral infarction due to embolism of left anterior cerebral artery,I63.422,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45552804,Cerebral infarction due to embolism of left anterior cerebral artery,I63.422,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200507,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,I63.423,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",37200507,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,I63.423,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45596214,Cerebral infarction due to embolism of unspecified anterior cerebral artery,I63.429,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45596214,Cerebral infarction due to embolism of unspecified anterior cerebral artery,I63.429,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569211,Cerebral infarction due to embolism of posterior cerebral artery,I63.43,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",1569211,Cerebral infarction due to embolism of posterior cerebral artery,I63.43,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45548029,Cerebral infarction due to embolism of right posterior cerebral artery,I63.431,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45548029,Cerebral infarction due to embolism of right posterior cerebral artery,I63.431,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45548030,Cerebral infarction due to embolism of left posterior cerebral artery,I63.432,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45548030,Cerebral infarction due to embolism of left posterior cerebral artery,I63.432,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200508,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,I63.433,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",37200508,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,I63.433,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45581783,Cerebral infarction due to embolism of unspecified posterior cerebral artery,I63.439,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45581783,Cerebral infarction due to embolism of unspecified posterior cerebral artery,I63.439,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569212,Cerebral infarction due to embolism of cerebellar artery,I63.44,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",1569212,Cerebral infarction due to embolism of cerebellar artery,I63.44,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601044,Cerebral infarction due to embolism of right cerebellar artery,I63.441,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45601044,Cerebral infarction due to embolism of right cerebellar artery,I63.441,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552805,Cerebral infarction due to embolism of left cerebellar artery,I63.442,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45552805,Cerebral infarction due to embolism of left cerebellar artery,I63.442,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200509,Cerebral infarction due to embolism of bilateral cerebellar arteries,I63.443,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",37200509,Cerebral infarction due to embolism of bilateral cerebellar arteries,I63.443,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45572099,Cerebral infarction due to embolism of unspecified cerebellar artery,I63.449,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45572099,Cerebral infarction due to embolism of unspecified cerebellar artery,I63.449,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601045,Cerebral infarction due to embolism of other cerebral artery,I63.49,ICD10CM,[4108356]
"Cerebral infarction due to embolism of cerebral arteries (195190007, OMOP concept_id: 4108356)",45601045,Cerebral infarction due to embolism of other cerebral artery,I63.49,ICD10CM,[4108356]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569213,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552806,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,I63.50,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569214,Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery,I63.51,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45605809,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,I63.511,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45586595,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,I63.512,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200510,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,I63.513,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601046,Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery,I63.519,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569215,Cerebral infarction due to unspecified occlusion or stenosis of anterior cerebral artery,I63.52,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45538397,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery,I63.521,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45533464,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery,I63.522,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200511,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries,I63.523,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557554,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery,I63.529,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569216,Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery,I63.53,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45586596,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery,I63.531,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557555,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery,I63.532,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200512,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries,I63.533,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45586597,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery,I63.539,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569217,Cerebral infarction due to unspecified occlusion or stenosis of cerebellar artery,I63.54,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45581784,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery,I63.541,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45596215,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery,I63.542,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200513,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries,I63.543,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45591476,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,I63.549,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601047,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,I63.59,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207819,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",I63.6,ICD10CM,[4111714]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207820,Other cerebral infarction,I63.8,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1595597,Other cerebral infarction due to occlusion or stenosis of small artery,I63.81,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1595598,Other cerebral infarction,I63.89,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207821,"Cerebral infarction, unspecified",I63.9,ICD10CM,[443454]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207828,"Dissection of cerebral arteries, nonruptured",I67.0,ICD10CM,[37016924]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45576891,Aphasia following nontraumatic subarachnoid hemorrhage,I69.020,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45562373,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side,I69.051,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543196,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side,I69.052,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45591484,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side,I69.053,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45605814,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side,I69.054,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45567194,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side,I69.061,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45605815,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side,I69.062,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45533470,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side,I69.063,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45601055,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side,I69.064,ICD10CM,[443599]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45557559,Aphasia following nontraumatic intracerebral hemorrhage,I69.120,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538405,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side,I69.151,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45596221,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side,I69.152,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45562376,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side,I69.153,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543198,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side,I69.154,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538406,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side,I69.161,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45548044,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side,I69.162,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538407,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side,I69.163,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45557560,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side,I69.164,ICD10CM,[443599]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45605819,Aphasia following other nontraumatic intracranial hemorrhage,I69.220,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538408,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side,I69.251,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538409,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side,I69.252,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45533474,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side,I69.253,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45567197,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side,I69.254,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45576896,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side,I69.259,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45605820,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side,I69.261,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543200,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side,I69.262,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45586609,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side,I69.263,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45552815,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side,I69.264,ICD10CM,[443599]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45548047,Aphasia following cerebral infarction,I69.320,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45591489,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,I69.351,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543201,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side,I69.352,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543202,Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side,I69.353,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45533479,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,I69.354,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45572111,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side,I69.359,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45533480,Other paralytic syndrome following cerebral infarction affecting right dominant side,I69.361,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45567198,Other paralytic syndrome following cerebral infarction affecting left dominant side,I69.362,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45572112,Other paralytic syndrome following cerebral infarction affecting right non-dominant side,I69.363,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45557563,Other paralytic syndrome following cerebral infarction affecting left non-dominant side,I69.364,ICD10CM,[443599]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45543203,Aphasia following other cerebrovascular disease,I69.820,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45548051,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side,I69.851,ICD10CM,[43530742]
